paraphraser,n_prompts,mean_n_selected,halluc_rate,n_fabricated
claude_haiku_4_5,120,9.875,0.0,0
claude_opus_4_8,120,9.8,0.0017,2
claude_sonnet_4_6,120,9.967,0.0,0
gemini_2_5_flash,120,9.942,0.0025,3
gemini_2_5_pro,120,9.942,0.0025,3
gemini_3_1_flash_lite,120,9.8,0.0025,3
gemini_3_1_pro_preview,120,9.9,0.0017,2
gpt_4_1,120,9.917,0.0034,4
gpt_4_1_mini,120,9.833,0.0025,3
gpt_5,120,9.908,0.0042,5
gpt_5_mini,120,9.842,0.0008,1
